,Name,Review_raw,Overall,Food,Service,Ambiance
33,steve,Very good service. Some very good food. Some good food. In the end seems too expensive.,4,4,5,4
34,Carmen,"Outstanding food and service all around, tucked away in a cozy neighborhood.  Appreciated all the personalized touches by staff to celebrate a quiet wedding anniversary.  Our waiter was very knowledgeable and attentive without being intrusive.  Don’t let the fish market  storefront fool you.  The restaurant hidden behind was warm and charming.  A top fave discovery of the year.",5,5,5,5
35,Garrett,"Always delicious. Our go-to place for every special event, birthday or anniversary.",5,5,5,4
36,Wendy,"Black Salt is a neighborhood gem, always producing great seafood and other dishes, giving variety in their choices and an extra flare in the preparation. (You can’t get fried ipswich  clams anywhere else.)The staff is just wonderful. And they have a fine wine list,too.",5,5,5,5
37,Howard,"This is an OUTSTANDING seafood restaurant based on the food, the service and the ambience. The food is consistently top tier as is the service. There is a fish market counter in the very front of the restaurant so you are able to pick your seafood; having been to Blacksalt a number of times now, the seafood is always fresh as you will find. The bar area in the front is lively without being loud; the dining room in the back is quiet - so you can pick your preferred area. Give this restaurant an opportunity, I know you’ll be back!",5,5,5,5
38,Tasha,"Really enjoyed the service, food and ambience for a casual mid-week birthday dinner for my husband. The personalized menu with special b-day wishes was much appreciated!!",5,5,5,5
39,OpenTable Diner,"There was a very poor waiter service. That was our wedding anniversary dinner that was not recognized at all but the host greetings. Not sure why bother to even ask the customer about a special occasion if nothing special you can provide. During the dinner our waiter did not stop by ONCE to ask how everything is or if we need anything. The bill was given by the bartender, not our waiter who could have at least thanked us for coming and dining there. We were speechless, the night was ruined by such ignorance and poor service.  Frankly, we are usually treated with much more respect at any other bar/restaurant that is not ranked as high as Black Salt.",2,3,1,3
40,Michael,Always a great experience at Black Salt. We started with fresh oysters and salad. Then Bouillabaisse and  halibut. Delish.,5,5,5,5
41,Stephanie,"Service is usually good, but was really slow a few nights ago.  Food was really good so I’m sure we will be back, but was just an off night for them.",3,5,2,4
42,Felicia,Excellent as always! My go to place. Service and food the best.,5,5,5,5
43,Jeff,"Excellence from beginning to end starting with Lucky Limes from PEI to mussels, soft-shell crabs, halibut with blue crab ravioli and finishing with key lime pie. Outstanding service! Highly recommended.",5,5,5,5
44,Mark,The food was absolutely marvelous. My relatives were in town from South Carolina and they simply raved about the delicious preparations of the appetizers and main courses.,5,5,5,5
45,Kamyar,This gem is among my favorite restaurants.  The menu items are always exciting and get updated from time to time.  Highly recommended.,5,5,5,5
46,Jonathan,One of the best if not the best seafood restaurant in DC!!,5,5,5,5
47,joyce,High quality but super expensive . Portions generous but once again overpriced. Fifty dollars for branzino at lunch is difficult to swallow. They were nice to give a chocolate brownie to our 98th birthday girl.,4,4,3,5
48,Mary,"We have been happy consumers of black salts hospitality for as long as it has been there.  ￼￼ on the last several visits I have particularly appreciated the restaurants willingness to place us in as quiet a spot as possible as we and our friends find it harder to hear as we age. Lovely, knowledgeable service yesterday. One quibble: the salmon in the salmon burger was over done. It’s a good lunch dish and if you have it, I recommend you ask to have it cooked to your preference.",4,4,5,5
49,Maristela,"BlackSalt always delivers! I had oysters from Virginia, they were so fresh and briny, delicious. Then the seafood cocktail, with shrimp, lobster, scallops, crab meat, very yummy too. The desert was a caramel chocolate gateau with a peanut butter base, with salt caramel ice cream. The pairing wine was an excellent suggestion. I will go back soon! Best fresh seafood",5,5,5,5
50,Cynthia,Everything was wonderful! The reason for my 4 star rating on service is that our main courses were brought to the table and served while one guest was still enjoying his appetizer course. Not good!,5,5,4,5
51,SailsGuy,This was our first time visiting. We found the food and service to be outstanding in every way. Looking forward to another wine run (MacArthur Beverages next door) accompanied by dinner at BlackSalt.,5,5,5,5
52,marc,The quality of the food is outstanding. The price point is extremely high for simply prepared fish,4,4,4,4
53,Garrett,Our go-to place for every special event. Always save room for their desserts.,5,5,5,4
54,Daniel,"Our overall experience was excellent. The food was delicious. The ingredients were very fresh. The service was attentive. The wait staff were knowledgeable about the menu and willing to make changes to address allergies and preferences. The menu was not large, but was varied enough to be interesting. The entrées were creative and paired nicely with the side dishes. Everything was cooked to perfection. And yes, we paid top dollar for it. It was an expensive evening, in the 250 dollar range for two people (with wine) but worth it.￼",5,5,5,4
55,Mark,"I have been dining at Black Salt since shortly after it opened 20 years or so ago.  I was there last night with a friend in the Wine Room.  I prefer to in that room, because the atmosphere is typically calmer and more charming than the main floor area.  Instead of entree, I chose two appetizers: (1) the Japanese Snapper Tartare—flavorful and light, and (2) the Moulard Duck breast, which was succulent, tender, flavorfully satisfying.  BlackSalt continues to aim to please, and last night it succeeded.",5,5,4,5
56,OpenTable Diner,"amazing experience. 10/10. delicious food, super kind & knowledgeable staff, and great ambience. went for a birthday dinner & would definitely recommend to everyone! although apps & entrees were outstanding, that strawberry rhubarb tart & key lime pie w/ passion fruit caramel were TO DIE FOR!!!!! if I were a local I would be ordering dessert weekly lol. amazing time, thank you!!!",5,4,5,5
57,JC,"As is always the case, the food was excellent, the wine list extensive and the service outstanding,",5,5,5,5
58,Michael,Overall excellent but the “non cash charge” feels a little petty given the overall price point of the restaurant.  And it’s something that is not identified until the check is presented.,5,5,5,5
59,JC,"The oysters weree fresh and delicious, the wines (including the port) werre outstanding, the table was very comfortable, and the service from Joan was courteous and helpful. I loved seeing some of the staff so elegantly dressed!

The only suggestion: temperature could be a bit warmer.",5,5,5,5
60,Calvillo,"It was amazing. Took my husband for his birthday, and they took care of us!",5,5,5,5
61,Jamie,"I celebrated my birthday in their wine room. AMAZING!  We had delish oysters to start. I did the lobster appetizer as my entree, which is great and lovely. To add even more applause, the sommelier was devine and gave us a few new wines to hunt down when we are home. Don't wait...just go!",5,5,5,5
62,Tim,"Another outstanding meal at Blacksalt. Freshest fish in the DMV and outstanding service. Have eaten here 4 times this year, and they always deliver. Prices are on the high side, but the quality of preparation is of equal value to the price. Highly recommend.",5,5,5,4
63,OpenTable Diner,We had a wonderful time and an amazing dinner. The service is always great! We really enjoy coming here.,5,5,5,5
64,DeryckB,"I hosted 4 guests to lunch at Black Salt on August 16th. The waiter was extremely knowledgable and was able to make recommendations based on the allergies and preferences of some members of the group. The service was very good and the food was exquisite. Everyone was very happy with their meals and the waiter - a Chinese Vietnamese gentleman - got high praise for being friendly, knowledgeable and ensuring that everyone’s food was to their satisfaction.",5,5,5,5
65,OpenTable Diner,Fantastic food.  The sardine appetizer was terrific.  The bouillabaisse was exceptional.  Highly recommend.,5,5,5,5
66,christine,Felt rushed even though there were hardly any customers at late lunch.,3,5,4,4
67,Denise F,"A wonderful treat to a designed dining as a gift for us.

Doug was excellent presenting all the dishes to our table.

A new experience for us.  Such a delight!

Thank you Chris and Joan, for visiting.

Denise & Bob Johnson",5,4,5,5
68,GreatFrench,Excellent meal from start to finish. Fresh and prepared perfectly. Attentive and professional service.,5,5,5,4
69,SimplyOutstanding,Great food. Great Service. Consistently excellent,5,5,5,3
70,AaronP,"The octopus was incredibly salty (we didn’t eat it), told the server about it and she still charged us. She also recommended way too much food",4,3,3,4
71,Virginia,As usual a wonderful lunch with cucumber gazpacho and grilled very tender tasty calamari!!,5,5,5,5
72,dorie,"Our first experience at BlackSalt was outstanding in every respect.  We were warmly greeted at the door, the wait service was par excellence, and the food was spectacular.  We had oysters, wood grilled calamari, Addie's mussels, bouillebaisse, and wood grilled branziono.  Everything was cooked to perfection and adorned with a huge amount of flavor.  It was a wonderful experience, and is highly recommended.",5,5,5,5
73,OpenTable Diner,"Best seafood ever & great service !
Such a lovely night.",5,5,5,5
74,Kristin,"Another stellar meal at Black Salt!  We were initially seated on the wine room, which is quieter but not the vibe we are looking for on a Saturday night out with friends.  The staff were very accommodating and promptly moved us to a nice table on the Main dining room.  From there, all was well—drinks, food and service were all exceptional.  We were too full for dessert unfortunately—next time!  The sweet offerings are always tasty!",5,5,5,5
75,Patrick,"We love BlackSalt even if it is on the pricy side. 
We will go for special occasions and are never disappointed in their food preparation or presentation and the service is top notch (ie professional, helpful and not intrusive).
The wine room in the back is quiet enough for a conversation and that is much appreciated.",4,5,5,5
76,Pappy,Food and service were both awesome!  Black Salt is one of my all time favorite restaurants.,5,5,5,5
77,OpenTable Diner,Great.  ......................................::..,5,5,5,5
78,OpenTable Diner,"As always, BlackSalt delivered a lovely evening of food and fun.  This place is so amazing and always accommodating to help with reservations, wine choices, and food requests.  Thank you all!",5,5,5,5
79,OpenTable Diner,They charge 4% additional fee for credit card purchases. This is insulting to the customer in 2024 where very few people carry cash anymore. It is a cost of business that should be absorbed by the restaurant.,1,5,5,5
80,GrampaSteve,"The food was luscious! We both had the ahi tuna appetizer with sushi rice (which was, by a narrow margin, the most delicious ingredient). The crabcake entree and vegetables were full of flavor and the Branzino was wonderfully seasoned. The key lime pie was the best we'd ever had.",5,5,5,5
81,MireyaB,Amazing food and service. Loved the atmosphere and the cocktails.  The wine room was so elegant!,5,5,5,5
82,DCfoodLover,"BlackSalt doesn’t just serve good food. It provides a memorable experience.

Took my wife for an anniversary dinner. It was our first visit to BlackSalt. It’s been a long time since we’ve experienced this level of excellent service. We felt honored and appreciated, and the food was delicious.

The back room of the restaurant is quiet and tastefully decorated. The lead server was attentive, providing good menu suggestions without being pushy. My wife does not have a big appetite, and he immediately offered to split our appetizers and entree, which they did beautifully. They looked like two perfectly prepared entrees.

We had a selection of fresh oysters, grilled calamari, and halibut with lobster strudel all well-prepared and delicious. In addition to our desserts, the restaurant provided a celebratory anniversary truffle, and souvenir menu.

Many restaurants serve good food, but post-pandemic service is at an all-time low, even at expensive places. (Pet peeve: “Who had the steak?”  Isn’t it your job to know?)

BlackSalt remembers it’s a memory, not just a meal.",5,5,5,5
83,Anton,"Prices have become stratospheric. And they charge a hidden 3% fee for credit card payments that only appears when the check arrives.  It is a nice place, and the food is good. But it is certainly not a place of 50$ entrees and hidden fees. A real pity, but no longer worth the visit.",1,3,3,3
84,SmartBlonde,Excellent service by the elegant and seasoned staff.  They do everything to make you feel comfortable.  We had the seasonal salad and my date had the Dover sole prepared table side.  Food was divine and atmosphere in the wine room was lively and effervescent.,5,5,5,5
85,LindsayJ,"Love Black Salt- amazing, interesting seafood menu. Service was a bit sparse.",4,4,4,5
86,VAVintner,BlackSalt always has the best quality seafood around.  Portions are generous and well prepared.,5,5,5,4
87,johnnyb,"The food was very good and the service provided by Carlos was excellent.  However, please invest in some decent silverware and make certain it's clean.",4,4,5,4
88,TrishS,"Always an amazing experience, whether for brunch or a special occasion. We went for our 28th wedding anniversary and had a wonderful time, and the food was must fantastic.",5,5,5,5
89,Craigo,"We are regulars and look forward to every tasty morsel and wine pairing. Last nights crab cakes, Dover sole, and other dishes were mouth watering and prepared perfectly. And the service was typically top notch from our favorite waiter and the team.",5,5,5,5
90,jamie,"First off, the price is high, but their were four of us and everyone loved their meal (we all had fish). Service was perfection and  wine list was quite good.  We may have just been lucky, but it was  easy to park  right out front on the street.  Highly recommend BlackSalt",5,5,5,4
91,an0nym0us,Dinner was fabulous as usual. The soft shell crabs were superb! And the Blue Hill oysters were delicious . The Rhône varietal wine worked well with both dishes.,5,5,5,5
92,DavidS,"Excellent, local seafood. Have enjoyed this restaurant on a number of occasions.",5,5,5,5
93,JeffL,"Always a great night, amazing food and personal terrific service",5,5,5,5
94,SarahM,Exceptional experience had by all.  Not our first visit and will not be our last.,5,5,5,5
95,Michael,"Best fish restaurant in the DC region. Excellent and broad menu, knowledgeable service, rear dining room is quiet.",5,5,5,5
96,scirox,"This is our favorite restaurant and saved for special occasions. This visit was very expensive, as expected but somewhat more than expected. In the past when we've gone for our anniversary, we have been pleased to have a mention of the celebration on the menu. That detail was missing this time; slightly disappointing, but not critical. The food was incredibly delicious, as expected, with one slight exception. The very expensive king salmon special came with a slightly heavy, brownish sauce that, while delicious, competed with the taste of the fish that I paid so much for. I had to pull out a section of just the flesh to get that flavor. There was a misunderstanding with our waiter that we wanted the leftovers to take home. To their credit, the staff made it right, though it caused a 20 minute delay.",4,4,4,5
97,AnneR,Great food. Wonderful service.  A keeper.  And then there is the fish market!,5,5,5,5
98,Bettina,"I LOVE Blacksalt, it is now my go-to, special occasion place!",5,5,5,5
99,OpenTable Diner,"Food was excellent. Server was very prompt. Service overall was excellent. The table next to us who seemed to be meeting a future daughter in law was excessive in the noise level from the perspective of me and wife. We understand the excitement, given we have children of our own, they are however younger.",4,5,5,4
100,OpenTable Diner,We had a fantastic evening at Blacksalt.  Food and service were spectacular- I would definitely recommend this restaurant for any occasion.,5,5,5,5
101,EllenF,Excellent service and so yummy! Great recommendations from all the staff! Spot on!,5,5,5,4
102,DcGeorgiaGal,Always a delicious meal at Blacksalt! I called ahead to see if they had any soft shell crabs available in the market and they were able to prepare them for one of my guests.  Absolutely perfect for her and the Caesar salad with grilled prawns was amazing as well. Love the changing menu and delicious salads.  And dont sleep on the cheeseburger either! thank you for a lovely lunch.,5,5,5,5
103,KLKWDC,"Blacksalt continues to be my favorite restaurant experience in DC.  The food is amazing, but the long term staff are even better.  It makes all the difference.",5,5,5,5
104,IvanH,"We never saw our server after ordering. Neither my husband nor I received the hash browns we ordered. No offer to refill our coffee, either. The food we received tasted excellent (as has been our experience many times in the past), but the lack of attention and the relatively small portion (or general lack of our order) left us disappointed and hungry.",3,5,2,3
105,Mark,"Excellent food with prices to match. Surprisingly noisy, even in the backroom. I guess dependent on presence of loud talkers. But a special place to dine, particularly seafood.",4,5,4,4
106,Linda,Fried clams were delicious! Belly clams at their best. Lobster bisque was a bit weak and thin. The service was excellent. But the room temperature was too cold!,5,5,5,4
107,OpenTable Diner,"Great seafood. Selection and prep were top notch. Even the steak was good. Fantastic deserts so don’t overload and skip desert.
Cool vibe. A little stinky up front from the fish market. The bar is nearby. Love the concept but “summer fish market” is never going to be a top selling scent. 😃",5,5,5,5
108,LawrenceG,"A lovely little place in a isolated neighborhood just west of DC with excellent seafood and attentive service. Wine list is a bit eclectic so you might need some guidance, and the wine prices are on the high side, but if you know enough  the choices are very nice.",5,5,5,4
109,luvfood2eat,we appreciated the quiet in the restaurant. The service was very good.,5,4,5,4
110,Pappy,Awesome seafood dishes as always! The mojitos from the bar were delicious too!,5,5,5,5
111,RossOnRestaurants,"Everything we ate was exceptional. Every aspect of the service was great, including the kitchen deciding to send out an additional appetizer so that they could re-fire my main course. A memorable dining experience.",5,5,5,5
112,FeliciaB,"Service and food excellent, as always. Thank - you.",5,5,5,5
113,carolP,Celebrating a friend’s special birthday. Everything was delicious!,5,5,5,5
114,DCDiner,"delicious seafood-oysters, halibut and crabcakes.  excellent service-attentive but not overbearing.  expensive but we left very happy and satisfied.",5,5,5,5
115,Christina,"We had a lovely lunch of Addie's mussels, our favorite, witb dear friends on Memorial day.",5,5,5,5
116,GreatF,"Always consistent great fresh, clean healthy food!!",5,5,5,5
117,GarrettM,"Always a wonderful experience. We like so many things that we usually order a bunch of appetizers rather than individual entrees, so we can all share in the wonderful tastes. Then, leave some room for desserts.",5,5,5,5
118,OpenTable Diner,Very special experience dining in the back room…it felt private and perfect for our multigenerational dinner celebration. Our seven to seventy five year olds loved all the food and attentive staff. This is the perfect spot for any occasion.,5,5,5,5
119,OpenTable Diner,Great place with a very good fish selection - loved it,5,5,5,5
120,OpenTable Diner,Excellent food.  Over priced.  Also was a bit surprised to see their was a additional charge for paying with a credit card,4,4,4,4
121,BStarr99,"One of the finest all around dining experiences in the DMV.  Wait staff operate as a seamless team attending to every need, well paying paced and respectful. The entire layout of the venue provides a variety of dining settings for every mood. Highly recommend the Oysters Rockefeller and Bronzino main course.",5,5,5,5
122,StevenP,"One of DC/Maryland local icons. Place for seafood, regional feel, away from the touristy area of DC. Local feel but also attractive for out of town special occasions visitors.",5,5,5,5
123,OpenTable Diner,"My dining companion and I dined at Black Salt for her birthday. Devin was very helpful describing menu choices and giving us opinions on selections.  He recommended that we speak with JJ the sommelier regarding the wine list. JJ helped us pick the perfect bottle of wine. The chefs at Black Salt are experts at preparing fish to the perfect temperature - in my case an Ora King Salmon prepared medium. The accompaniments were flavorful and complemented the fish selections. It you enjoy seafood, Black Salt has a wide selection and has stood the test of time in Washington DC. They were GREAT acknowledging my dining companions birthday as well!",4,5,5,4
124,OpenTable Diner,The food was great and so was the service. It was a little expensive but worth it. I loved the casual vibe .,5,5,5,5
125,OpenTable Diner,"Service was ok, he really took us in and out in no time.",4,4,3,3
126,JCE9,They did a wonderful job helping us celebrate our 36th anniversary. The food and service were top notch. The oyster selection was fantastic and we tried them all. Best crab cakes in dc!,5,5,5,5
127,PeterT,"Great food, service.  Perfect for a special occasion or business dinner.  A bit expensive but it shows in the quality of the food, presentation and service.",5,5,5,5
128,OpenTable Diner,"Service was outstanding and the ambience fine.  But a $35 BlackSalt Caeser's salad that contained only two -- yes, that's right, only two -- ""wood-grilled"" prawns?  Outrageous.",2,4,5,3
129,Cliff,"We were celebrating a birthday, and asked for a quiet table, and we were seated in the Wine Room, and it was perfect.  We shared a calamari appetizer, and had halibut and crab cakes for the entrees.  We shared key lime pie for dessert, and the restaurant provided a special birthday dessert.  Service was excellent, and the food was delicious.",5,5,5,5
130,LaurH,"This was one of the best meals I have had, especially in DC.  The atmosphere in the back room is delightful.  The mussels were exceptional.  Can't wait to go back.",5,5,5,5
131,ArturoN,"Great food and service. Pricey, but worth it for a special occasion.",5,5,5,5
132,BrianO,All the food was very good as was the service.,5,5,5,4
133,ValentinM,"Great !
Amazing experience.
Excellent food and services.",5,5,5,5
134,MrBanks,"Fantastic food and experience. Literally, every item we had was top-notch. Service far exceeded my expectations. By far the best meal I have had in a while.",5,5,5,5
135,ArnetteH,Tremenous service and exceptional food.  The clam chowder was the best I've ever tasted.,5,5,5,5
136,JonT,Exceptionally great service. flavorful and fresh food,5,5,5,5
137,JasonK,"Consistently exceptional.

There is simply no one better in the mid Atlantic for a meal of fish.￼￼￼",5,5,5,5
138,Lizzie,"Food was good, not great.  Service was fine, not exceptional. Extremely long wait between first and main courses.  I've had better experiences there.  Maybe they were just overwhelmed on a busy Saturday night.",3,3,3,3
139,JessicaH,"Wonderful, Rich, and interesting seafood. Great service in a lovely atmosphere. Noise level a little high. Pricey but worth it.",5,5,5,5
140,OpenTable Diner,"Very underwhelmed by the food that was served.
We got:
Fish tacos: it was ok. I wish the slaw had flavor. It got better after tabasco was added.
Thia mussels: best thing we had. The flavoring was good.
Salmon burger: was so disappointing. Salmon was dry, chips were salty.

Solid 3/5 for food. Cornbread as a starter added an extra .5 points!

Despite the food, service was phenomenal. ￼",3,2,5,3
141,OpenTable Diner,"Very good! Sat in the wine cellar, ordered the special (salmon), salad, oysters, and tuna. The chef happily made my dish gluten free.

Everything was great!",5,5,5,5
142,FeliciaB,"Food and service excellent, as always. My go to place.",5,5,5,5
143,LindaB,"Food and service were absolutely marvelous. The addition of Dorade is a good choice! Sitting in upstairs dining room is so k, but prefer the main dining room.",5,5,5,4
144,RobertR,Grossly overpriced. For some reason each entree now costs $20 more than a few years ago yet the food is the same. The Branzino was good but would have been better with a simpler sauce. We will not be back.,1,3,2,2
145,OpenTable Diner,"Outstanding as always. One of my favorite places in DC, and this time around we had the honor to dine at the same restaurant as President Biden and the First Lady as they were hosting the Japanese prime minister and wife. What an experience!!",5,5,5,5
146,OpenTable Diner,"Excellent service & food - nice, cozy experience outside of hustle & bustle of city",5,5,5,4
147,Kadmos,Not many choices for lunch. Prices well above the quality of the meal. Besides there are additional charges if you pay with credit card.,2,2,4,3
148,foodieambo,"BlackSalt is the place for seafood. The oysters alone are spectacular, and the fish is always perfectly prepared. I will report that I find I like their fish far more than I like their version of cornmeal-crusted soft shell crab.",5,5,5,5
149,WilliamP,"I ate here, four years ago, and came back to see if it was as memorable. I was not to be disappointed.  Very challenging to eat a three meal course given the portions, each portion is made with great care and focus. With an on-site bakery, fresh fish in daily with a great mix of nightly specials, and a solid wine list. Makes this a great restaurant to hit for a positive evening.",4,4,4,4
150,mac3,"We've been going to BlackSalt for many years, and it is consistently outstanding.  The food is incredible, the service is great, and the wine list is very good.",5,5,5,5
151,familyoffour,"From the first bite of stone crab claws, tender calamari to delicious entrees of rockfish, crab cakes and halibut all the way through to finishing touches with butterscotch pot de creme and key lime pie the food was excellent.  The recommended wine pairing of a sancerre was fantastic.  Can't remember the last time when we ate out that every thing was wonderful.  Thank you for a lovely evening.",5,5,4,4
152,MonaK,The food was most delicious and the service was excellent. The manager and the waiters were wonderful.,5,5,5,5
153,Stevenson,"Crab cake was superb!  Service attentive. A tad expensive, but very good for a special lunch or dinner.",5,5,5,4
154,OpenTable Diner,Overall good experience.The appetizers of lobster and calamari were on the tough side and not the best value for cost.Service was good.,4,4,5,4
155,Virginian,Excellent service and menu with good choices. I'd recommend to friends!,5,5,5,4
156,KristinA,The pricing is just a bit high.   I don't know if I would come back when work is not paying.   $53 starting point for a piece of fish is just too hard to stomach.  Ans $20 starting point for a so-so glass of Chardonnay is just too much.  I am a neighbor and frequent all of our great spots in the hood here in palisades.,3,3,4,4
157,OpenTable Diner,"My latest favorite place.
Everything was great - except this review form!",5,5,5,5
158,OpenTable Diner,One of the best restaurants in DC hands down. Every time I dine here always have great service and amazing food!,5,5,5,5
159,OpenTable Diner,"After eating at BlackSalt, it is my favorite restaurant and I will definitely be back.",5,5,5,5
160,SueF,Always fabulous! Particularly when chef prepares the fish his way. Service always superb!,5,5,5,5
161,john,"We are long time diners at Black Salt, and always enjoyed our meals; however, last night was very disappointing and not sure if we will return.  We understand the need to raise prices, but we found it difficult to find anything on the menu (daily specials and regular) that we wanted to order. The calamari appetizer and tuna and crab cake main courses were underwhelming, at best. The bread and olive oil were the only enjoyable part of the meal.

Service and ambiance were fine, but sorry to feel the need to write this revue.",2,1,3,3
162,Susan,"For the food, service and ambience there is no place in the Washington DC region I would rather eat than BlackSalt. It's in a slightly out-of-the-way neighborhood, but it's my neighborhood so it works perfectly for me. The food is creative, the balance is perfect and the flavors are fresh and compelling. The staff - at all levels - is professional and outstanding. Bravo!",5,5,5,5
163,MrYummy,"I hadn’t been to Black Salt in years and I was consistently disappointed. The grilled calamari were chewy, and both the halibut and bronzino were overdone. Surprisingly, the best part of my meal was the salad.",2,2,4,4
164,SandyP,"Celebrated our anniversary and the menu we got had a special greeting from the restaurant (nice touch - set the stage for a memorable experience)!  Food was excellent, service outstanding!",5,5,5,5
165,mrowland,Great meal with attentive service.  Good wine selections and great desserts also.,5,5,5,5
